Date,StartTime_ET,AwayTeam,AwayABV,AwayPTS,HomeTeam,HomeABV,HomePTS,is_OT,Arena,AwayB2B,HomeB2B,cup_gm,pstszn_gm,rtrvd
2021-10-19,7:30p,Brooklyn Nets,BRK,104,Milwaukee Bucks,MIL,127,0,Fiserv Forum,0,0,0,0,1
2021-10-19,10:00p,Golden State Warriors,GSW,121,Los Angeles Lakers,LAL,114,0,Crypto.com Arena,0,0,0,0,1
2021-10-20,7:00p,Indiana Pacers,IND,122,Charlotte Hornets,CHO,123,0,Spectrum Center,0,0,0,0,1
2021-10-20,7:00p,Chicago Bulls,CHI,94,Detroit Pistons,DET,88,0,Little Caesars Arena,0,0,0,0,1
2021-10-20,7:30p,Boston Celtics,BOS,134,New York Knicks,NYK,138,2,Madison Square Garden (IV),0,0,0,0,1
2021-10-20,7:30p,Washington Wizards,WAS,98,Toronto Raptors,TOR,83,0,Scotiabank Arena,0,0,0,0,1
2021-10-20,8:00p,Cleveland Cavaliers,CLE,121,Memphis Grizzlies,MEM,132,0,FedEx Forum,0,0,0,0,1
2021-10-20,8:00p,Houston Rockets,HOU,106,Minnesota Timberwolves,MIN,124,0,Target Center,0,0,0,0,1
2021-10-20,8:00p,Philadelphia 76ers,PHI,117,New Orleans Pelicans,NOP,97,0,Smoothie King Center,0,0,0,0,1
2021-10-20,8:30p,Orlando Magic,ORL,97,San Antonio Spurs,SAS,123,0,AT&T Center,0,0,0,0,1
2021-10-20,9:00p,Oklahoma City Thunder,OKC,86,Utah Jazz,UTA,107,0,Vivint Smart Home Arena,0,0,0,0,1
2021-10-20,10:00p,Sacramento Kings,SAC,124,Portland Trail Blazers,POR,121,0,Moda Center,0,0,0,0,1
2021-10-20,10:00p,Denver Nuggets,DEN,110,Phoenix Suns,PHO,98,0,Phoenix Suns Arena,0,0,0,0,1
2021-10-21,7:30p,Dallas Mavericks,DAL,87,Atlanta Hawks,ATL,113,0,State Farm Arena,0,0,0,0,1
2021-10-21,8:00p,Milwaukee Bucks,MIL,95,Miami Heat,MIA,137,0,FTX Arena,0,0,0,0,1
2021-10-21,10:00p,Los Angeles Clippers,LAC,113,Golden State Warriors,GSW,115,0,Chase Center,0,0,0,0,1
2021-10-22,7:00p,New York Knicks,NYK,121,Orlando Magic,ORL,96,0,Amway Center,0,0,0,0,1
2021-10-22,7:00p,Indiana Pacers,IND,134,Washington Wizards,WAS,135,1,Capital One Arena,0,0,0,0,1
2021-10-22,7:00p,Charlotte Hornets,CHO,123,Cleveland Cavaliers,CLE,112,0,Rocket Mortgage Fieldhouse,0,0,0,0,1
2021-10-22,7:30p,Toronto Raptors,TOR,115,Boston Celtics,BOS,83,0,TD Garden,0,0,0,0,1
2021-10-22,7:30p,Brooklyn Nets,BRK,114,Philadelphia 76ers,PHI,109,0,Wells Fargo Center,0,0,0,0,1
2021-10-22,8:00p,Oklahoma City Thunder,OKC,91,Houston Rockets,HOU,124,0,Toyota Center,0,0,0,0,1
2021-10-22,8:00p,New Orleans Pelicans,NOP,112,Chicago Bulls,CHI,128,0,United Center,0,0,0,0,1
2021-10-22,9:00p,San Antonio Spurs,SAS,96,Denver Nuggets,DEN,102,0,Ball Arena,0,0,0,0,1
2021-10-22,10:00p,Phoenix Suns,PHO,115,Los Angeles Lakers,LAL,105,0,Crypto.com Arena,0,0,0,0,1
2021-10-22,10:00p,Utah Jazz,UTA,110,Sacramento Kings,SAC,101,0,Golden 1 Center,0,0,0,0,1
2021-10-23,6:00p,Atlanta Hawks,ATL,95,Cleveland Cavaliers,CLE,101,0,Rocket Mortgage Fieldhouse,0,1,0,0,1
2021-10-23,7:00p,Miami Heat,MIA,91,Indiana Pacers,IND,102,1,Gainbridge Fieldhouse,0,1,0,0,1
2021-10-23,7:30p,Dallas Mavericks,DAL,103,Toronto Raptors,TOR,95,0,Scotiabank Arena,0,1,0,0,1
2021-10-23,8:00p,Detroit Pistons,DET,82,Chicago Bulls,CHI,97,0,United Center,0,1,0,0,1
