game_id,Date,Team,B2B,Player,Pos,MP,Opp,Off_PTS,Off_L5_PTS,AVG_PTS_H2H,Def_PTS,Def_L5_PTS,PTS
20221018_PHI_BOS,10/18/2022,PHI,0,James Harden,PG,37.28,BOS,35.0,35.0,,35.0,35.0,35
20221018_LAL_GSW,10/18/2022,GSW,0,Stephen Curry,PG,32.8,LAL,33.0,33.0,,22.5,22.5,33
20221018_LAL_GSW,10/18/2022,LAL,0,Russell Westbrook,PG,30.68,GSW,19.0,19.0,,19.0,19.0,19
20221018_PHI_BOS,10/18/2022,BOS,0,Malcolm Brogdon,PG,23.87,PHI,16.0,16.0,,15.0,15.0,16
20221018_LAL_GSW,10/18/2022,GSW,0,Jordan Poole,PG,28.18,LAL,12.0,12.0,,22.5,22.5,12
20221018_PHI_BOS,10/18/2022,BOS,0,Marcus Smart,PG,36.08,PHI,14.0,14.0,,15.0,15.0,14
20221018_LAL_GSW,10/18/2022,LAL,0,Scotty Pippen Jr.,PG,1.87,GSW,2.0,2.0,,19.0,19.0,2
20221018_LAL_GSW,10/18/2022,GSW,0,Ryan Rollins,PG,1.87,LAL,0.0,0.0,,22.5,22.5,0
20221018_PHI_BOS,10/18/2022,BOS,0,Payton Pritchard,PG,0.0,PHI,0.0,0.0,,15.0,15.0,0
20221018_PHI_BOS,10/18/2022,PHI,0,Tyrese Maxey,SG,38.18,BOS,21.0,21.0,,13.0,13.0,21
20221018_LAL_GSW,10/18/2022,LAL,0,Kendrick Nunn,SG,23.05,GSW,13.0,13.0,,7.0,7.0,13
20221018_LAL_GSW,10/18/2022,GSW,0,Donte DiVincenzo,SG,21.62,LAL,8.0,8.0,,8.0,8.0,8
20221018_PHI_BOS,10/18/2022,PHI,0,De'Anthony Melton,SG,20.55,BOS,5.0,5.0,,13.0,13.0,5
20221018_LAL_GSW,10/18/2022,GSW,0,Moses Moody,SG,7.58,LAL,5.0,5.0,,8.0,8.0,5
20221018_LAL_GSW,10/18/2022,LAL,0,Lonnie Walker IV,SG,29.28,GSW,5.0,5.0,,7.0,7.0,5
20221018_LAL_GSW,10/18/2022,LAL,0,Austin Reaves,SG,16.0,GSW,3.0,3.0,,7.0,7.0,3
20221018_LAL_GSW,10/18/2022,LAL,0,Patrick Beverley,SG,24.67,GSW,3.0,3.0,,7.0,7.0,3
20221018_LAL_GSW,10/18/2022,LAL,0,Max Christie,SG,1.87,GSW,3.0,3.0,,7.0,7.0,3
20221018_PHI_BOS,10/18/2022,PHI,0,Furkan Korkmaz,SG,0.0,BOS,0.0,0.0,,13.0,13.0,0
20221018_PHI_BOS,10/18/2022,PHI,0,Jaden Springer,SG,0.0,BOS,0.0,0.0,,13.0,13.0,0
20221018_PHI_BOS,10/18/2022,PHI,0,Shake Milton,SG,0.0,BOS,0.0,0.0,,13.0,13.0,0
20221018_PHI_BOS,10/18/2022,BOS,0,Derrick White,SG,24.03,PHI,2.0,2.0,,2.0,2.0,2
20221018_PHI_BOS,10/18/2022,BOS,0,JD Davison,SG,0.0,PHI,0.0,0.0,,2.0,2.0,0
20221018_PHI_BOS,10/18/2022,BOS,0,Jaylen Brown,SF,38.57,PHI,35.0,35.0,,35.0,35.0,35
20221018_PHI_BOS,10/18/2022,BOS,0,Jayson Tatum,SF,38.63,PHI,35.0,35.0,,35.0,35.0,35
20221018_LAL_GSW,10/18/2022,GSW,0,Andrew Wiggins,SF,29.47,LAL,20.0,20.0,,19.0,19.0,20
20221018_LAL_GSW,10/18/2022,GSW,0,Klay Thompson,SF,19.65,LAL,18.0,18.0,,19.0,19.0,18
20221018_PHI_BOS,10/18/2022,PHI,0,Tobias Harris,SF,34.23,BOS,18.0,18.0,,18.0,18.0,18
20221018_PHI_BOS,10/18/2022,BOS,0,Sam Hauser,SF,3.32,PHI,0.0,0.0,,35.0,35.0,0
20221018_PHI_BOS,10/18/2022,BOS,0,Justin Jackson,SF,0.0,PHI,0.0,0.0,,35.0,35.0,0
20221018_PHI_BOS,10/18/2022,PHI,0,Danuel House Jr.,SF,16.2,BOS,1.0,1.0,,18.0,18.0,1
20221018_LAL_GSW,10/18/2022,GSW,0,Patrick Baldwin Jr.,SF,0.0,LAL,0.0,0.0,,19.0,19.0,0
20221018_PHI_BOS,10/18/2022,PHI,0,Matisse Thybulle,SF,0.38,BOS,0.0,0.0,,18.0,18.0,0
20221018_LAL_GSW,10/18/2022,LAL,0,LeBron James,PF,35.2,GSW,31.0,31.0,,31.0,31.0,31
20221018_PHI_BOS,10/18/2022,BOS,0,Grant Williams,PF,23.95,PHI,15.0,15.0,,15.0,15.0,15
20221018_LAL_GSW,10/18/2022,GSW,0,JaMychal Green,PF,23.43,LAL,8.0,8.0,,6.0,6.0,8
20221018_PHI_BOS,10/18/2022,PHI,0,P.J. Tucker,PF,33.02,BOS,6.0,6.0,,6.0,6.0,6
