Date,Team,B2B,Player,Opp,Off_PTS,Off_L5_PTS,AVG_PTS_H2H,Def_PTS,Def_L5_PTS
10/18/2022,PHI,0,James Harden,BOS,35.0,35.0,,35.0,35.0
10/18/2022,GSW,0,Stephen Curry,LAL,33.0,33.0,,22.5,22.5
10/18/2022,LAL,0,Russell Westbrook,GSW,19.0,19.0,,19.0,19.0
10/18/2022,BOS,0,Malcolm Brogdon,PHI,16.0,16.0,,15.0,15.0
10/18/2022,GSW,0,Jordan Poole,LAL,12.0,12.0,,22.5,22.5
10/18/2022,BOS,0,Marcus Smart,PHI,14.0,14.0,,15.0,15.0
10/18/2022,LAL,0,Scotty Pippen Jr.,GSW,2.0,2.0,,19.0,19.0
10/18/2022,GSW,0,Ryan Rollins,LAL,0.0,0.0,,22.5,22.5
10/18/2022,BOS,0,Payton Pritchard,PHI,0.0,0.0,,15.0,15.0
10/18/2022,PHI,0,Tyrese Maxey,BOS,21.0,21.0,,13.0,13.0
10/18/2022,LAL,0,Kendrick Nunn,GSW,13.0,13.0,,7.0,7.0
10/18/2022,GSW,0,Donte DiVincenzo,LAL,8.0,8.0,,8.0,8.0
10/18/2022,PHI,0,De'Anthony Melton,BOS,5.0,5.0,,13.0,13.0
10/18/2022,GSW,0,Moses Moody,LAL,5.0,5.0,,8.0,8.0
10/18/2022,LAL,0,Lonnie Walker IV,GSW,5.0,5.0,,7.0,7.0
10/18/2022,LAL,0,Austin Reaves,GSW,3.0,3.0,,7.0,7.0
10/18/2022,LAL,0,Patrick Beverley,GSW,3.0,3.0,,7.0,7.0
10/18/2022,LAL,0,Max Christie,GSW,3.0,3.0,,7.0,7.0
10/18/2022,PHI,0,Furkan Korkmaz,BOS,0.0,0.0,,13.0,13.0
10/18/2022,PHI,0,Jaden Springer,BOS,0.0,0.0,,13.0,13.0
10/18/2022,PHI,0,Shake Milton,BOS,0.0,0.0,,13.0,13.0
10/18/2022,BOS,0,Derrick White,PHI,2.0,2.0,,2.0,2.0
10/18/2022,BOS,0,JD Davison,PHI,0.0,0.0,,2.0,2.0
10/18/2022,BOS,0,Jaylen Brown,PHI,35.0,35.0,,35.0,35.0
10/18/2022,BOS,0,Jayson Tatum,PHI,35.0,35.0,,35.0,35.0
10/18/2022,GSW,0,Andrew Wiggins,LAL,20.0,20.0,,19.0,19.0
10/18/2022,GSW,0,Klay Thompson,LAL,18.0,18.0,,19.0,19.0
10/18/2022,PHI,0,Tobias Harris,BOS,18.0,18.0,,18.0,18.0
10/18/2022,BOS,0,Sam Hauser,PHI,0.0,0.0,,35.0,35.0
10/18/2022,BOS,0,Justin Jackson,PHI,0.0,0.0,,35.0,35.0
10/18/2022,PHI,0,Danuel House Jr.,BOS,1.0,1.0,,18.0,18.0
10/18/2022,GSW,0,Patrick Baldwin Jr.,LAL,0.0,0.0,,19.0,19.0
10/18/2022,PHI,0,Matisse Thybulle,BOS,0.0,0.0,,18.0,18.0
10/18/2022,LAL,0,LeBron James,GSW,31.0,31.0,,31.0,31.0
10/18/2022,BOS,0,Grant Williams,PHI,15.0,15.0,,15.0,15.0
10/18/2022,GSW,0,JaMychal Green,LAL,8.0,8.0,,6.0,6.0
10/18/2022,PHI,0,P.J. Tucker,BOS,6.0,6.0,,6.0,6.0
10/18/2022,GSW,0,Draymond Green,LAL,4.0,4.0,,6.0,6.0
10/18/2022,BOS,0,Mfiondu Kabengele,PHI,0.0,0.0,,15.0,15.0
10/18/2022,PHI,0,Georges Niang,BOS,3.0,3.0,,6.0,6.0
10/18/2022,GSW,0,Jonathan Kuminga,LAL,0.0,0.0,,6.0,6.0
10/18/2022,LAL,0,Anthony Davis,GSW,27.0,27.0,,27.0,27.0
10/18/2022,PHI,0,Joel Embiid,BOS,26.0,26.0,,26.0,26.0
10/18/2022,GSW,0,James Wiseman,LAL,8.0,8.0,,7.0,7.0
10/18/2022,GSW,0,Kevon Looney,LAL,7.0,7.0,,7.0,7.0
10/18/2022,PHI,0,Montrezl Harrell,BOS,2.0,2.0,,26.0,26.0
10/18/2022,BOS,0,Al Horford,PHI,6.0,6.0,,4.0,4.0
10/18/2022,BOS,0,Noah Vonleh,PHI,2.0,2.0,,4.0,4.0
10/18/2022,LAL,0,Wenyen Gabriel,GSW,0.0,0.0,,27.0,27.0
10/18/2022,LAL,0,Damian Jones,GSW,0.0,0.0,,27.0,27.0
10/18/2022,PHI,0,Paul Reed,BOS,0.0,0.0,,26.0,26.0
10/18/2022,BOS,0,Blake Griffin,PHI,1.0,1.0,,4.0,4.0
10/18/2022,BOS,0,Luke Kornet,PHI,0.0,0.0,,4.0,4.0
10/19/2022,DAL,0,Luka Doncic,PHO,35.0,35.0,,35.0,35.0
10/19/2022,MEM,0,Ja Morant,NYK,34.0,34.0,,24.5,24.5
10/19/2022,IND,0,Tyrese Haliburton,WAS,26.0,26.0,,26.0,26.0
10/19/2022,OKC,0,Shai Gilgeous-Alexander,MIN,32.0,32.0,,22.0,22.0
10/19/2022,HOU,0,Kevin Porter Jr.,ATL,21.0,21.0,,21.0,21.0
10/19/2022,NOP,0,CJ McCollum,BRK,21.0,21.0,,21.0,21.0
10/19/2022,SAC,0,De'Aaron Fox,POR,33.0,33.0,,17.5,17.5
10/19/2022,MEM,0,Tyus Jones,NYK,15.0,15.0,,24.5,24.5
10/19/2022,MIN,0,D'Angelo Russell,OKC,20.0,20.0,,20.0,20.0
10/19/2022,POR,0,Damian Lillard,SAC,20.0,20.0,,20.0,20.0
10/19/2022,UTA,0,Collin Sexton,DEN,20.0,20.0,,16.5,16.5
10/19/2022,DET,0,Cade Cunningham,ORL,18.0,18.0,,18.0,18.0
10/19/2022,ATL,0,Trae Young,HOU,23.0,23.0,,14.0,14.0
10/19/2022,OKC,0,Tre Mann,MIN,12.0,12.0,,22.0,22.0
10/19/2022,IND,0,T.J. McConnell,WAS,8.0,8.0,,26.0,26.0
10/19/2022,NYK,0,Jalen Brunson,MEM,15.0,15.0,,15.0,15.0
10/19/2022,TOR,0,Fred VanVleet,CLE,15.0,15.0,,15.0,15.0
10/19/2022,UTA,0,Mike Conley,DEN,13.0,13.0,,16.5,16.5
10/19/2022,BRK,0,Patty Mills,NOP,16.0,16.0,,11.666666666666666,11.666666666666666
10/19/2022,BRK,0,Kyrie Irving,NOP,15.0,15.0,,11.666666666666666,11.666666666666666
10/19/2022,NOP,0,Jose Alvarado,BRK,7.0,7.0,,21.0,21.0
10/19/2022,SAS,0,Tre Jones,CHO,14.0,14.0,,14.0,14.0
10/19/2022,DET,0,Cory Joseph,ORL,8.0,8.0,,18.0,18.0
10/19/2022,DEN,0,Jamal Murray,UTA,12.0,12.0,,12.0,12.0
10/19/2022,CHO,0,Dennis Smith Jr.,SAS,12.0,12.0,,12.0,12.0
10/19/2022,CHI,0,Goran Dragic,MIA,12.0,12.0,,9.0,9.0
10/19/2022,MIN,0,Jordan McLaughlin,OKC,4.0,4.0,,20.0,20.0
10/19/2022,DEN,0,Bones Hyland,UTA,10.0,10.0,,12.0,12.0
10/19/2022,DAL,0,McKinley Wright IV,PHO,0.0,0.0,,35.0,35.0
10/19/2022,MEM,0,Kennedy Chandler,NYK,0.0,0.0,,24.5,24.5
10/19/2022,WAS,0,Delon Wright,IND,8.0,8.0,,7.5,7.5
10/19/2022,DET,0,Killian Hayes,ORL,3.0,3.0,,18.0,18.0
10/19/2022,NYK,0,Derrick Rose,MEM,4.0,4.0,,15.0,15.0
10/19/2022,SAC,0,Davion Mitchell,POR,2.0,2.0,,17.5,17.5
10/19/2022,NOP,0,Devonte' Graham,BRK,0.0,0.0,,21.0,21.0
10/19/2022,NOP,0,Dyson Daniels,BRK,0.0,0.0,,21.0,21.0
10/19/2022,ATL,0,Aaron Holiday,HOU,5.0,5.0,,14.0,14.0
10/19/2022,WAS,0,Monte Morris,IND,7.0,7.0,,7.5,7.5
10/19/2022,HOU,0,Trevor Hudgins,ATL,0.0,0.0,,21.0,21.0
10/19/2022,PHO,0,Cameron Payne,DAL,7.0,7.0,,6.5,6.5
10/19/2022,CHI,0,Alex Caruso,MIA,6.0,6.0,,9.0,9.0
10/19/2022,TOR,0,Dalano Banton,CLE,2.0,2.0,,15.0,15.0
10/19/2022,PHO,0,Chris Paul,DAL,6.0,6.0,,6.5,6.5
10/19/2022,BRK,0,Ben Simmons,NOP,4.0,4.0,,11.666666666666666,11.666666666666666
10/19/2022,SAC,0,Matthew Dellavedova,POR,0.0,0.0,,17.5,17.5
10/19/2022,CHO,0,Theo Maledon,SAS,2.0,2.0,,12.0,12.0
10/19/2022,TOR,0,Malachi Flynn,CLE,0.0,0.0,,15.0,15.0
10/19/2022,NYK,0,Ryan Arcidiacono,MEM,0.0,0.0,,15.0,15.0
10/19/2022,TOR,0,Jeff Dowtin Jr.,CLE,0.0,0.0,,15.0,15.0
10/19/2022,NYK,0,Miles McBride,MEM,0.0,0.0,,15.0,15.0
10/19/2022,ATL,0,Vit Krejci,HOU,0.0,0.0,,14.0,14.0
10/19/2022,MIA,0,Gabe Vincent,CHI,2.0,2.0,,2.0,2.0
10/19/2022,MIA,0,Kyle Lowry,CHI,2.0,2.0,,2.0,2.0
10/19/2022,DEN,0,Ish Smith,UTA,0.0,0.0,,12.0,12.0
10/19/2022,WAS,0,Jordan Goodwin,IND,0.0,0.0,,7.5,7.5
10/19/2022,CHO,0,Terry Rozier,SAS,24.0,24.0,,24.0,24.0
10/19/2022,CLE,0,Donovan Mitchell,TOR,31.0,31.0,,20.5,20.5
10/19/2022,MIA,0,Tyler Herro,CHI,23.0,23.0,,23.0,23.0
10/19/2022,PHO,0,Devin Booker,DAL,28.0,28.0,,19.5,19.5
10/19/2022,POR,0,Anfernee Simons,SAC,22.0,22.0,,22.0,22.0
10/19/2022,ATL,0,Dejounte Murray,HOU,20.0,20.0,,20.0,20.0
10/19/2022,WAS,0,Bradley Beal,IND,23.0,23.0,,18.5,18.5
10/19/2022,SAC,0,Kevin Huerter,POR,23.0,23.0,,18.5,18.5
10/19/2022,DET,0,Jaden Ivey,ORL,19.0,19.0,,19.0,19.0
10/19/2022,TOR,0,Gary Trent Jr.,CLE,19.0,19.0,,19.0,19.0
10/19/2022,IND,0,Bennedict Mathurin,WAS,19.0,19.0,,19.0,19.0
10/19/2022,ORL,0,Jalen Suggs,DET,21.0,21.0,,17.0,17.0
10/19/2022,POR,0,Shaedon Sharpe,SAC,12.0,12.0,,22.0,22.0
10/19/2022,MEM,0,Desmond Bane,NYK,16.0,16.0,,16.0,16.0
10/19/2022,WAS,0,Will Barton,IND,14.0,14.0,,18.5,18.5
10/19/2022,CHI,0,Ayo Dosunmu,MIA,17.0,17.0,,13.5,13.5
10/19/2022,SAC,0,Terence Davis,POR,14.0,14.0,,18.5,18.5
10/19/2022,DAL,0,Spencer Dinwiddie,PHO,15.0,15.0,,15.0,15.0
10/19/2022,HOU,0,Jalen Green,ATL,16.0,16.0,,13.5,13.5
10/19/2022,PHO,0,Damion Lee,DAL,11.0,11.0,,19.5,19.5
10/19/2022,ORL,0,Terrence Ross,DET,13.0,13.0,,17.0,17.0
