Date,Team,Player,Pos
10/24/2023,LAL,D'Angelo Russell,PG
10/24/2023,LAL,Austin Reaves,SG
10/24/2023,LAL,LeBron James,SF
10/24/2023,LAL,Taurean Prince,SF
10/24/2023,LAL,Anthony Davis,C
10/24/2023,DEN,Jamal Murray,PG
10/24/2023,DEN,Kentavious Caldwell-Pope,SG
10/24/2023,DEN,Michael Porter Jr.,SF
10/24/2023,DEN,Aaron Gordon,PF
10/24/2023,DEN,Nikola Jokic,C
10/24/2023,PHO,Devin Booker,SG
10/24/2023,PHO,Josh Okogie,SG
10/24/2023,PHO,Grayson Allen,SF
10/24/2023,PHO,Kevin Durant,PF
10/24/2023,PHO,Jusuf Nurkic,C
10/24/2023,GSW,Chris Paul,PG
10/24/2023,GSW,Stephen Curry,PG
10/24/2023,GSW,Klay Thompson,SG
10/24/2023,GSW,Andrew Wiggins,SF
10/24/2023,GSW,Kevon Looney,C
10/25/2023,ATL,Trae Young,PG
10/25/2023,ATL,Dejounte Murray,SG
10/25/2023,ATL,De'Andre Hunter,SF
10/25/2023,ATL,Saddiq Bey,PF
10/25/2023,ATL,Clint Capela,C
10/25/2023,CHO,Terry Rozier,PG
10/25/2023,CHO,LaMelo Ball,PG
10/25/2023,CHO,Gordon Hayward,SF
10/25/2023,CHO,P.J. Washington,PF
10/25/2023,CHO,Mark Williams,C
10/25/2023,WAS,Jordan Poole,PG
10/25/2023,WAS,Tyus Jones,PG
10/25/2023,WAS,Deni Avdija,SF
10/25/2023,WAS,Kyle Kuzma,PF
10/25/2023,WAS,Daniel Gafford,C
10/25/2023,IND,Tyrese Haliburton,PG
10/25/2023,IND,Bruce Brown,SG
10/25/2023,IND,Bennedict Mathurin,SG
10/25/2023,IND,Obi Toppin,PF
10/25/2023,IND,Myles Turner,C
10/25/2023,HOU,Fred VanVleet,PG
10/25/2023,HOU,Jalen Green,SG
10/25/2023,HOU,Dillon Brooks,SF
10/25/2023,HOU,Jabari Smith Jr.,PF
10/25/2023,HOU,Alperen Sengun,C
10/25/2023,ORL,Markelle Fultz,PG
10/25/2023,ORL,Jalen Suggs,SG
10/25/2023,ORL,Franz Wagner,SF
10/25/2023,ORL,Paolo Banchero,PF
10/25/2023,ORL,Wendell Carter Jr.,C
10/25/2023,BOS,Jrue Holiday,PG
10/25/2023,BOS,Jaylen Brown,SG
10/25/2023,BOS,Derrick White,SG
10/25/2023,BOS,Jayson Tatum,SF
10/25/2023,BOS,Kristaps Porzingis,C
10/25/2023,NYK,Jalen Brunson,PG
10/25/2023,NYK,Quentin Grimes,SG
10/25/2023,NYK,RJ Barrett,SG
10/25/2023,NYK,Julius Randle,PF
10/25/2023,NYK,Mitchell Robinson,C
10/25/2023,MIN,Mike Conley,PG
10/25/2023,MIN,Nickeil Alexander-Walker,SG
10/25/2023,MIN,Anthony Edwards,SG
10/25/2023,MIN,Karl-Anthony Towns,PF
10/25/2023,MIN,Rudy Gobert,C
10/25/2023,TOR,Dennis Schroder,PG
10/25/2023,TOR,Scottie Barnes,SF
10/25/2023,TOR,OG Anunoby,SF
10/25/2023,TOR,Pascal Siakam,PF
10/25/2023,TOR,Jakob Poeltl,C
10/25/2023,CLE,Darius Garland,PG
10/25/2023,CLE,Max Strus,SG
10/25/2023,CLE,Donovan Mitchell,SG
10/25/2023,CLE,Isaac Okoro,SF
10/25/2023,CLE,Evan Mobley,PF
10/25/2023,BRK,Spencer Dinwiddie,PG
10/25/2023,BRK,Ben Simmons,PG
10/25/2023,BRK,Mikal Bridges,SF
10/25/2023,BRK,Cameron Johnson,PF
10/25/2023,BRK,Nicolas Claxton,C
10/25/2023,DET,Cade Cunningham,PG
10/25/2023,DET,Killian Hayes,PG
10/25/2023,DET,Ausar Thompson,SG
10/25/2023,DET,Isaiah Stewart,PF
10/25/2023,DET,Jalen Duren,C
10/25/2023,MIA,Kyle Lowry,PG
10/25/2023,MIA,Tyler Herro,SG
10/25/2023,MIA,Jimmy Butler III,SF
10/25/2023,MIA,Kevin Love,PF
10/25/2023,MIA,Bam Adebayo,C
10/25/2023,NOP,CJ McCollum,PG
10/25/2023,NOP,Herbert Jones,SF
10/25/2023,NOP,Brandon Ingram,SF
10/25/2023,NOP,Zion Williamson,PF
10/25/2023,NOP,Jonas Valanciunas,C
10/25/2023,MEM,Marcus Smart,PG
10/25/2023,MEM,Desmond Bane,SG
10/25/2023,MEM,Ziaire Williams,SF
10/25/2023,MEM,Jaren Jackson Jr.,PF
10/25/2023,MEM,Xavier Tillman,C
10/25/2023,OKC,Shai Gilgeous-Alexander,PG
10/25/2023,OKC,Josh Giddey,SG
10/25/2023,OKC,Jalen Williams,SF
10/25/2023,OKC,Luguentz Dort,SF
10/25/2023,OKC,Chet Holmgren,C
10/25/2023,CHI,Zach LaVine,SG
10/25/2023,CHI,Coby White,SG
10/25/2023,CHI,DeMar DeRozan,SF
10/25/2023,CHI,Patrick Williams,PF
10/25/2023,CHI,Nikola Vucevic,C
10/25/2023,SAC,De'Aaron Fox,PG
10/25/2023,SAC,Kevin Huerter,SG
10/25/2023,SAC,Harrison Barnes,SF
10/25/2023,SAC,Keegan Murray,PF
10/25/2023,SAC,Domantas Sabonis,C
10/25/2023,UTA,Jordan Clarkson,SG
10/25/2023,UTA,Talen Horton-Tucker,SG
10/25/2023,UTA,Lauri Markkanen,PF
10/25/2023,UTA,John Collins,PF
10/25/2023,UTA,Walker Kessler,C
10/25/2023,DAL,Luka Doncic,PG
10/25/2023,DAL,Kyrie Irving,PG
10/25/2023,DAL,Derrick Jones Jr.,SF
10/25/2023,DAL,Grant Williams,PF
10/25/2023,DAL,Maxi Kleber,C
10/25/2023,SAS,Devin Vassell,SG
10/25/2023,SAS,Keldon Johnson,SF
10/25/2023,SAS,Victor Wembanyama,PF
10/25/2023,SAS,Jeremy Sochan,PF
10/25/2023,SAS,Zach Collins,C
10/25/2023,POR,Scoot Henderson,PG
10/25/2023,POR,Anfernee Simons,SG
10/25/2023,POR,Matisse Thybulle,SG
10/25/2023,POR,Jerami Grant,PF
10/25/2023,POR,Deandre Ayton,C
10/25/2023,LAC,Russell Westbrook,PG
10/25/2023,LAC,Kawhi Leonard,SF
10/25/2023,LAC,Paul George,SF
10/25/2023,LAC,Robert Covington,SF
10/25/2023,LAC,Ivica Zubac,C
10/26/2023,PHI,Tyrese Maxey,PG
10/26/2023,PHI,De'Anthony Melton,SG
10/26/2023,PHI,Tobias Harris,SF
10/26/2023,PHI,P.J. Tucker,PF
10/26/2023,PHI,Joel Embiid,C
10/26/2023,MIL,Damian Lillard,PG
10/26/2023,MIL,Malik Beasley,SG
10/26/2023,MIL,Khris Middleton,SF
10/26/2023,MIL,Giannis Antetokounmpo,PF
10/26/2023,MIL,Brook Lopez,C
10/26/2023,PHO,Josh Okogie,SG
10/26/2023,PHO,Grayson Allen,SF
10/26/2023,PHO,Eric Gordon,SF
10/26/2023,PHO,Kevin Durant,PF
10/26/2023,PHO,Jusuf Nurkic,C
10/26/2023,LAL,D'Angelo Russell,PG
10/26/2023,LAL,Austin Reaves,SG
10/26/2023,LAL,LeBron James,SF
10/26/2023,LAL,Taurean Prince,SF
10/26/2023,LAL,Anthony Davis,C
10/27/2023,DEN,Jamal Murray,PG
10/27/2023,DEN,Kentavious Caldwell-Pope,SG
10/27/2023,DEN,Michael Porter Jr.,SF
10/27/2023,DEN,Aaron Gordon,PF
10/27/2023,DEN,Nikola Jokic,C
10/27/2023,MEM,Marcus Smart,PG
10/27/2023,MEM,Desmond Bane,SG
10/27/2023,MEM,Ziaire Williams,SF
10/27/2023,MEM,Jaren Jackson Jr.,PF
10/27/2023,MEM,Xavier Tillman,C
10/27/2023,DET,Killian Hayes,PG
10/27/2023,DET,Cade Cunningham,PG
10/27/2023,DET,Ausar Thompson,SG
10/27/2023,DET,Isaiah Stewart,PF
10/27/2023,DET,Jalen Duren,C
10/27/2023,CHO,Terry Rozier,PG
10/27/2023,CHO,LaMelo Ball,PG
10/27/2023,CHO,Gordon Hayward,SF
10/27/2023,CHO,P.J. Washington,PF
10/27/2023,CHO,Mark Williams,C
10/27/2023,NYK,Jalen Brunson,PG
10/27/2023,NYK,RJ Barrett,SG
10/27/2023,NYK,Quentin Grimes,SG
10/27/2023,NYK,Julius Randle,PF
10/27/2023,NYK,Mitchell Robinson,C
10/27/2023,ATL,Trae Young,PG
10/27/2023,ATL,Dejounte Murray,SG
10/27/2023,ATL,De'Andre Hunter,SF
10/27/2023,ATL,Saddiq Bey,PF
10/27/2023,ATL,Clint Capela,C
10/27/2023,OKC,Shai Gilgeous-Alexander,PG
10/27/2023,OKC,Josh Giddey,SG
10/27/2023,OKC,Jalen Williams,SF
10/27/2023,OKC,Luguentz Dort,SF
10/27/2023,OKC,Chet Holmgren,C
10/27/2023,CLE,Donovan Mitchell,SG
10/27/2023,CLE,Max Strus,SG
10/27/2023,CLE,Isaac Okoro,SF
10/27/2023,CLE,Evan Mobley,PF
10/27/2023,CLE,Dean Wade,PF
10/27/2023,MIA,Kyle Lowry,PG
10/27/2023,MIA,Tyler Herro,SG
10/27/2023,MIA,Jimmy Butler III,SF
10/27/2023,MIA,Kevin Love,PF
10/27/2023,MIA,Bam Adebayo,C
10/27/2023,BOS,Jrue Holiday,PG
10/27/2023,BOS,Derrick White,SG
10/27/2023,BOS,Jaylen Brown,SG
10/27/2023,BOS,Jayson Tatum,SF
10/27/2023,BOS,Kristaps Porzingis,C
10/27/2023,TOR,Dennis Schroder,PG
10/27/2023,TOR,OG Anunoby,SF
10/27/2023,TOR,Scottie Barnes,SF
10/27/2023,TOR,Pascal Siakam,PF
10/27/2023,TOR,Jakob Poeltl,C
10/27/2023,CHI,Coby White,SG
10/27/2023,CHI,Zach LaVine,SG
10/27/2023,CHI,DeMar DeRozan,SF
10/27/2023,CHI,Patrick Williams,PF
10/27/2023,CHI,Nikola Vucevic,C
10/27/2023,HOU,Fred VanVleet,PG
10/27/2023,HOU,Jalen Green,SG
10/27/2023,HOU,Dillon Brooks,SF
10/27/2023,HOU,Jabari Smith Jr.,PF
10/27/2023,HOU,Alperen Sengun,C
10/27/2023,SAS,Devin Vassell,SG
10/27/2023,SAS,Keldon Johnson,SF
10/27/2023,SAS,Jeremy Sochan,PF
10/27/2023,SAS,Victor Wembanyama,PF
10/27/2023,SAS,Zach Collins,C
10/27/2023,BRK,Ben Simmons,PG
10/27/2023,BRK,Spencer Dinwiddie,PG
10/27/2023,BRK,Cam Thomas,SG
10/27/2023,BRK,Mikal Bridges,SF
10/27/2023,BRK,Dorian Finney-Smith,PF
10/27/2023,DAL,Kyrie Irving,PG
10/27/2023,DAL,Luka Doncic,PG
10/27/2023,DAL,Derrick Jones Jr.,SF
10/27/2023,DAL,Grant Williams,PF
10/27/2023,DAL,Dereck Lively II,C
10/27/2023,LAC,Russell Westbrook,PG
10/27/2023,LAC,Robert Covington,SF
10/27/2023,LAC,Kawhi Leonard,SF
10/27/2023,LAC,Paul George,SF
10/27/2023,LAC,Ivica Zubac,C
