Date,Team,Player,Status,Reason
10/24/2023,DEN,Jay Huff,Out,Injury/Illness - Right Rib; Fracture
10/24/2023,GSW,Draymond Green,Out,Injury/Illness - Left Ankle; Sprain
10/24/2023,LAL,Jarred Vanderbilt,Out,Injury/Illness - Left Heel; Soreness
10/24/2023,PHO,Damion Lee,Out,Injury/Illness - Right Meniscus; Surgery
10/24/2023,DEN,Vlatko Cancar,Out,Injury/Illness - Left Knee; Surgery
10/24/2023,LAL,Jalen Hood-Schifino,Out,Injury/Illness - Right Patella; Contusion
10/24/2023,PHO,Devin Booker,Probable,Injury/Illness - Left Big Toe; Soreness
10/24/2023,LAL,D'Moi Hodge,Out,G League - Two-Way
10/24/2023,PHO,Bradley Beal,Questionable,Injury/Illness - Low Back; Tightness
10/24/2023,LAL,Alex Fudge,Out,G League - Two-Way
10/24/2023,LAL,Colin Castleton,Out,G League - Two-Way
10/25/2023,ATL,Wesley Matthews,Out,Injury/Illness - Right Calf; Mild Strain
10/25/2023,BRK,Dariq Whitehead,Out,Injury/Illness - Right Foot; Surgery/Rehab
10/25/2023,CHO,Frank Ntilikina,Out,Injury/Illness - Left tibia; Fracture
10/25/2023,CHI,Lonzo Ball,Out,Injury/Illness - Left Knee; Surgery
10/25/2023,CLE,Dean Wade,Out,Injury/Illness - Illness; Illness
10/25/2023,DAL,Dwight Powell,Probable,Injury/Illness - Illness; Illness
10/25/2023,DET,Monte Morris,Out,Injury/Illness - Right Quadriceps; Strain
10/25/2023,HOU,Victor Oladipo,Out,Injury/Illness - Left Patellar Tendon; Repair
10/25/2023,IND,Isaiah Wong,Out,G League - Two-Way
10/25/2023,MEM,Ja Morant,Out,League Suspension
10/25/2023,MIA,Josh Richardson,Out,Injury/Illness - Left Foot; Discomfort
10/25/2023,MIN,Jaden McDaniels,Out,Injury/Illness - Left Calf; Strain
10/25/2023,NOP,Trey Murphy III,Out,Injury/Illness - Left Knee; Partial Meniscectomy
10/25/2023,OKC,Kenrich Williams,Out,Injury/Illness - Low Back; Spasms
10/25/2023,ORL,Admiral Schofield,Out,G League - Two-Way
10/25/2023,POR,Ish Wainright,Out,Injury/Illness - Right Calf; Strain
10/25/2023,SAC,Jalen Slawson,Out,Injury/Illness - N/A; Illness
10/25/2023,SAS,Devonte' Graham,Out,League Suspension
10/25/2023,TOR,Christian Koloko,Out,Injury/Illness - Illness; Respiratory issue
10/25/2023,WAS,Landry Shamet,Out,Injury/Illness - Left Toe; Left 1st toe fracture
10/25/2023,CHO,Bryce McGowens,Out,Injury/Illness - Left Ankle; Sprain
10/25/2023,CLE,Ricky Rubio,Out,Not With Team
10/25/2023,DAL,Jaden Hardy,Probable,Injury/Illness - Left Ankle; Sprain
10/25/2023,DET,Isaiah Livers,Out,Injury/Illness - Left Ankle; Sprain
10/25/2023,HOU,Tari Eason,Out,Injury/Illness - Left Lower Leg; Stress Reaction
10/25/2023,IND,Oscar Tshiebwe,Out,G League - Two-Way
10/25/2023,MEM,Brandon Clarke,Out,Injury/Illness - Left Achilles; Tendon Repair
10/25/2023,MIA,Haywood Highsmith,Out,Injury/Illness - Left Knee; Sprain
10/25/2023,MIN,Jaylen Clark,Out,Injury/Illness - Right Achilles Tendon; Rupture Rehab
10/25/2023,NOP,Naji Marshall,Out,Injury/Illness - Right Knee; Contusion
10/25/2023,OKC,Jaylin Williams,Out,Injury/Illness - Right Hamstring; Strain
10/25/2023,ORL,Trevelin Queen,Out,G League - Two-Way
10/25/2023,SAC,Trey Lyles,Out,Injury/Illness - Left Calf; Strain
10/25/2023,SAS,Zach Collins,Questionable,Injury/Illness - “”; Non-Covid Illness
10/25/2023,WAS,Anthony Gill,Out,Injury/Illness - Left Hamstring; Left hamstring strain
10/25/2023,CHO,Cody Martin,Out,Injury/Illness - Left Knee; Soreness
10/25/2023,CLE,Jarrett Allen,Out,Injury/Illness - Left Ankle; Bone Bruise
10/25/2023,DAL,Luka Doncic,Questionable,Injury/Illness - Left Calf; Strain
10/25/2023,DET,Bojan Bogdanovic,Out,Injury/Illness - Right Calf; Strain
10/25/2023,IND,Kendall Brown,Out,G League - Two-Way
10/25/2023,MEM,Santi Aldama,Out,Injury/Illness - Right Ankle; Sprain
10/25/2023,NOP,Jose Alvarado,Out,Injury/Illness - Right Ankle; Sprain
10/25/2023,ORL,Kevon Harris,Out,Injury/Illness - Right Knee; Sore
10/25/2023,WAS,Johnny Davis,Out,Injury/Illness - Left Elbow; Left elbow UCL sprain
10/25/2023,CHO,Miles Bridges,Out,League Suspension
10/25/2023,MEM,Steven Adams,Out,Injury/Illness - Right Knee; PCL Sprain
10/25/2023,CHO,James Bouknight,Out,Injury/Illness - Left Knee; Surgery
10/26/2023,LAL,Jarred Vanderbilt,Out,Injury/Illness - Left Heel; Bursitis
10/26/2023,PHI,Azuolas Tubelis,Out,Not With Team
10/26/2023,PHO,Damion Lee,Out,Injury/Illness - Right Meniscus; Surgery
10/26/2023,LAL,Cam Reddish,Probable,Injury/Illness - Right Foot; Soreness
10/26/2023,PHI,Terquavion Smith,Out,G League - Two-Way
10/26/2023,PHO,Devin Booker,Out,Injury/Illness - Left Foot; Soreness
10/26/2023,LAL,Jalen Hood-Schifino,Out,Injury/Illness - Right Patella; Contusion
10/26/2023,PHI,Javonte Smart,Out,G League - Two-Way
10/26/2023,PHO,Bradley Beal,Out,Injury/Illness - Low Back; Tightness
10/26/2023,LAL,Alex Fudge,Out,G League - Two-Way
10/26/2023,PHI,James Harden,Out,Not with Team - Return to Competition Reconditioning
10/26/2023,PHI,Ricky Council IV,Out,G League - Two-Way
10/27/2023,ATL,Wesley Matthews,Out,Injury/Illness - Right Calf; Mild Strain
10/27/2023,BRK,Dariq Whitehead,Out,Injury/Illness - Right Foot; Surgery/Rehab
10/27/2023,CHO,Frank Ntilikina,Out,Injury/Illness - Left Tibia; Fracture
10/27/2023,CHI,Lonzo Ball,Out,Injury/Illness - Left Knee; Surgery
10/27/2023,CLE,Ricky Rubio,Out,Not With Team
10/27/2023,DAL,A.J. Lawson,Out,G League - Two-Way
10/27/2023,DEN,Jay Huff,Out,Injury/Illness - Right Rib; Fracture
10/27/2023,DET,Monte Morris,Out,Injury/Illness - Right Quadriceps; Strain
10/27/2023,GSW,Draymond Green,Out,Injury/Illness - Left Ankle; Sprain
10/27/2023,HOU,Victor Oladipo,Out,Injury/Illness - Left Patellar Tendon; Repair
10/27/2023,MEM,Ja Morant,Out,League Suspension
10/27/2023,MIA,Josh Richardson,Out,Injury/Illness - Right Foot; Discomfort
10/27/2023,OKC,Kenrich Williams,Out,Injury/Illness - Low Back; Spasms
10/27/2023,ORL,Trevelin Queen,Out,G League - Two-Way
10/27/2023,POR,Ish Wainright,Out,Injury/Illness - Right Calf; Strain
10/27/2023,SAC,Jalen Slawson,Questionable,Injury/Illness - N/A; Illness
10/27/2023,SAS,Devonte' Graham,Out,League Suspension
10/27/2023,TOR,Christian Koloko,Out,Injury/Illness - Illness; Respiratory issue
10/27/2023,BRK,Cameron Johnson,Out,Injury/Illness - Left Calf; Contusion
10/27/2023,CHO,Cody Martin,Out,Injury/Illness - Left Knee; Soreness
10/27/2023,CLE,Darius Garland,Out,Injury/Illness - Left Hamstring; Strain
10/27/2023,DAL,Dexter Dennis,Out,G League - Two-Way
10/27/2023,DEN,Vlatko Cancar,Out,Injury/Illness - Left Knee; Surgery
10/27/2023,DET,Isaiah Livers,Out,Injury/Illness - Left Ankle; Sprain
10/27/2023,HOU,Jock Landale,Out,Injury/Illness - Head; Concussion Protocol
10/27/2023,MEM,Luke Kennard,Out,Injury/Illness - Concussion; Concussion Protocol
10/27/2023,MIA,Caleb Martin,Out,Injury/Illness - Left Knee; Tendinosis
10/27/2023,OKC,Jaylin Williams,Out,Injury/Illness - Right Hamstring; Strain
10/27/2023,ORL,Kevon Harris,Out,Injury/Illness - Right Knee; Sore
