Date,StartTime_ET,AwayTeam,AwayABV,AwayPTS,HomeTeam,HomeABV,HomePTS,Arena,AwayB2B,HomeB2B,cup_gm,pstszn_gm,rtrvd
10/21/2025,7:30p,Houston Rockets,HOU,124,Oklahoma City Thunder,OKC,125,Paycom Center,0,0,0,0,1
10/21/2025,10:00p,Golden State Warriors,GSW,119,Los Angeles Lakers,LAL,109,Crypto.com Arena,0,0,0,0,1
10/22/2025,7:00p,Brooklyn Nets,BRK,117,Charlotte Hornets,CHO,136,Spectrum Center,0,0,0,0,1
10/22/2025,7:00p,Cleveland Cavaliers,CLE,111,New York Knicks,NYK,119,Madison Square Garden (IV),0,0,0,0,1
10/22/2025,7:00p,Miami Heat,MIA,121,Orlando Magic,ORL,125,Kia Center,0,0,0,0,1
10/22/2025,7:30p,Philadelphia 76ers,PHI,117,Boston Celtics,BOS,116,TD Garden,0,0,0,0,1
10/22/2025,7:30p,Toronto Raptors,TOR,138,Atlanta Hawks,ATL,118,State Farm Arena,0,0,0,0,1
10/22/2025,8:00p,Detroit Pistons,DET,111,Chicago Bulls,CHI,115,United Center,0,0,0,0,1
10/22/2025,8:00p,New Orleans Pelicans,NOP,122,Memphis Grizzlies,MEM,128,FedExForum,0,0,0,0,1
10/22/2025,8:00p,Washington Wizards,WAS,120,Milwaukee Bucks,MIL,133,Fiserv Forum,0,0,0,0,1
10/22/2025,9:00p,Los Angeles Clippers,LAC,108,Utah Jazz,UTA,129,Delta Center,0,0,0,0,1
10/22/2025,9:30p,San Antonio Spurs,SAS,125,Dallas Mavericks,DAL,92,American Airlines Center,0,0,0,0,1
10/22/2025,10:00p,Minnesota Timberwolves,MIN,118,Portland Trail Blazers,POR,114,Moda Center,0,0,0,0,1
10/22/2025,10:00p,Sacramento Kings,SAC,116,Phoenix Suns,PHO,120,Mortgage Matchup Center,0,0,0,0,1
10/23/2025,7:30p,Oklahoma City Thunder,OKC,141,Indiana Pacers,IND,135,Gainbridge Fieldhouse,0,0,0,0,1
10/23/2025,10:00p,Denver Nuggets,DEN,131,Golden State Warriors,GSW,137,Chase Center,0,0,0,0,1
