game_id,Date,Team,Player,Pos,MP,Opp,Off_PTS,AVG_PTS_H2H,Def_PTS,Off_AST,AVG_AST_H2H,Def_AST,Off_REB,AVG_REB_H2H,Def_REB,Off_PR,AVG_PR_H2H,Def_PR,Off_PA,AVG_PA_H2H,Def_PA,Off_RA,AVG_RA_H2H,Def_RA,Off_PRA,AVG_PRA_H2H,Def_PRA,PTS,PTS_line,PTS_Diff,PTS_Result,AST,AST_line,AST_Diff,AST_Result,REB,REB_line,REB_Diff,REB_Result,PR,PR_line,PR_Diff,PR_Result,PA,PA_line,PA_Diff,PA_Result,RA,RA_line,RA_Diff,RA_Result,PRA,PRA_line,PRA_Diff,PRA_Result,B2B
20251118_UTA_LAL,11/18/2025,LAL,Luka Doncic,PG,34.23,UTA,34.63636363636363,26.77777777777778,21.916666666666668,9.0,9.0,7.5,8.545454545454545,7.444444444444445,4.0,43.18181818181818,34.22222222222222,25.916666666666668,43.63636363636363,35.77777777777778,29.416666666666668,17.545454545454547,16.444444444444443,11.5,52.18181818181818,43.22222222222222,33.416666666666664,37,30.5,6.5,O,10,8.5,1.5,O,5,7.5,-2.5,U,42,38.5,3.5,O,47,39.5,7.5,O,15,16.5,-1.5,U,52,48.5,3.5,O,0.0
20251118_UTA_LAL,11/18/2025,UTA,Keyonte George,PG,35.35,LAL,22.73333333333333,17.25,17.23076923076923,7.066666666666666,6.0,6.615384615384615,4.066666666666666,3.625,3.1538461538461537,26.8,20.875,20.384615384615383,29.8,23.25,23.846153846153847,11.133333333333333,9.625,9.76923076923077,33.86666666666667,26.875,27.0,34,19.5,14.5,O,8,5.5,2.5,O,4,3.5,0.5,O,38,23.5,14.5,O,42,25.5,16.5,O,12,9.5,2.5,O,46,29.5,16.5,O,0.0
20251118_UTA_LAL,11/18/2025,UTA,Isaiah Collier,PG,20.98,LAL,10.571428571428571,6.8,17.23076923076923,7.142857142857143,6.2,6.615384615384615,4.166666666666667,3.0,3.1538461538461537,14.142857142857142,9.8,20.384615384615383,17.714285714285715,13.0,23.846153846153847,10.714285714285714,9.2,9.76923076923077,21.285714285714285,16.0,27.0,9,8.5,0.5,O,6,5.5,0.5,O,2,2.5,-0.5,U,11,11.5,-0.5,U,15,14.5,0.5,O,8,8.5,-0.5,U,17,17.5,-0.5,U,0.0
20251118_MEM_SAS,11/18/2025,SAS,De'Aaron Fox,PG,33.2,MEM,22.666666666666668,22.428571428571427,23.818181818181817,6.166666666666667,5.142857142857143,5.181818181818182,3.1666666666666665,4.142857142857143,5.090909090909091,25.83333333333333,26.571428571428573,28.90909090909091,28.83333333333333,27.571428571428573,29.0,9.333333333333334,9.285714285714286,10.272727272727272,32.0,31.714285714285715,34.09090909090909,26,24.5,1.5,O,3,7.5,-4.5,U,1,3.5,-2.5,U,27,29.5,-2.5,U,29,33.5,-4.5,U,4,11.5,-7.5,U,30,37.5,-7.5,U,0.0
20251118_GSW_ORL,11/18/2025,GSW,Stephen Curry,PG,34.22,ORL,27.923076923076923,33.4,22.384615384615383,4.416666666666667,6.6,7.153846153846154,3.9166666666666665,2.8,4.923076923076923,31.53846153846154,36.2,27.307692307692307,32.0,40.0,29.53846153846154,7.6923076923076925,9.4,12.076923076923077,35.61538461538461,42.8,34.46153846153846,34,26.5,7.5,O,9,4.5,4.5,O,3,3.5,-0.5,U,37,30.5,6.5,O,43,31.5,11.5,O,12,8.5,3.5,O,46,35.5,10.5,O,0.0
20251118_BOS_BRK,11/18/2025,BOS,Payton Pritchard,PG,35.25,BRK,16.733333333333334,15.666666666666666,21.5,5.0,3.0,6.375,4.333333333333333,4.333333333333333,5.0,21.066666666666663,20.0,26.5,21.73333333333333,18.666666666666668,27.875,9.333333333333334,7.333333333333333,11.375,26.066666666666663,23.0,32.875,22,15.5,6.5,O,5,4.5,0.5,O,10,3.5,6.5,O,32,20.5,11.5,O,27,21.5,5.5,O,15,8.5,6.5,O,37,25.5,11.5,O,0.0
20251118_GSW_ORL,11/18/2025,ORL,Anthony Black,PG,32.75,GSW,11.733333333333333,6.4,20.61111111111111,2.571428571428572,1.2,7.5,3.2857142857142856,1.6,5.611111111111111,14.8,8.0,26.22222222222222,14.133333333333333,7.6,28.11111111111111,5.466666666666667,2.8,13.11111111111111,17.2,9.2,33.72222222222222,21,10.5,10.5,O,2,2.5,-0.5,U,4,3.5,0.5,O,25,14.5,10.5,O,23,13.5,9.5,O,6,6.5,-0.5,U,27,17.5,9.5,O,0.0
20251118_PHO_POR,11/18/2025,PHO,Jordan Goodwin,PG,21.8,POR,8.3,4.666666666666667,22.666666666666668,2.3,2.111111111111111,5.555555555555555,3.75,3.4444444444444446,5.222222222222222,10.666666666666666,8.11111111111111,27.88888888888889,10.6,6.777777777777778,28.22222222222222,5.666666666666667,5.555555555555555,10.77777777777778,12.583333333333334,10.22222222222222,33.44444444444444,10,7.5,2.5,O,1,2.5,-1.5,U,4,3.5,0.5,O,14,12.5,1.5,O,11,10.5,0.5,O,5,6.5,-1.5,U,15,14.5,0.5,O,0.0
20251118_DET_ATL,11/18/2025,DET,Cade Cunningham,PG,33.82,ATL,27.25,24.5,19.727272727272727,9.916666666666666,9.875,6.818181818181818,5.416666666666667,5.5,6.545454545454546,32.666666666666664,30.0,26.27272727272728,37.16666666666666,34.375,26.545454545454547,15.333333333333334,15.375,13.363636363636363,42.583333333333336,39.875,33.09090909090909,25,26.5,-1.5,U,10,9.5,0.5,O,6,4.5,1.5,O,31,31.5,-0.5,U,35,35.5,-0.5,U,16,14.5,1.5,O,41,40.5,0.5,O,1.0
20251118_BOS_BRK,11/18/2025,BRK,Egor Demin,PG,23.25,BOS,8.0,,24.454545454545453,3.3846153846153846,,6.545454545454546,3.25,,4.727272727272728,10.384615384615383,,29.181818181818183,10.76923076923077,,31.0,6.384615384615385,,11.272727272727272,13.76923076923077,,35.72727272727273,12,7.5,4.5,O,4,4.5,-0.5,U,3,2.5,0.5,O,15,10.5,4.5,O,16,11.5,4.5,O,7,7.5,-0.5,U,19,15.5,3.5,O,0.0
